year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1919,121.5,287.7,89.8,49,13.9,40.7,2.8,0.3,8.3,27.8,102.7,45.6,152.7,43.8,138.8,790.1,432.5
1920,30.5,73.4,51.1,63.9,49.9,7,0,0,22.7,82.4,102.3,92.7,164.9,7,207.4,575.9,149.5
1921,23.7,82,24.5,32.2,67.4,6,2.5,0,23,116.2,87.1,31.8,124.1,8.5,226.3,496.4,198.4
1922,108.6,19,66.4,23.1,29.4,35.8,0.4,1.6,9.6,103.6,9.5,126.4,118.9,37.8,122.7,533.4,159.4
1923,2.4,105.3,43.8,89.7,10.2,12.3,3.6,0,10.3,81.5,127.4,21.5,143.7,15.9,219.2,508,234.1
1924,84,75.9,172.5,44.8,51.5,0,0,0,33.2,40.4,73.1,52,268.8,0,146.7,627.4,181.4
1925,12.8,73.5,22.1,23.7,20.2,119.6,4,0,2.6,26.7,115.1,160.5,66,123.6,144.4,580.8,138.3
1926,27.1,80.3,44.6,42.3,41.1,0.2,0,0.3,0.4,96.1,119.8,12.2,128,0.5,216.3,464.4,267.9
1927,54.4,93.4,57.9,1.9,24.1,27.9,3.2,0.3,9.4,74,101.3,181.7,83.9,31.4,184.7,629.5,160
1928,23.2,89.9,124.9,106.3,53.4,51.2,2.7,18,240.7,22.5,28.1,45.3,284.6,71.9,291.3,806.2,294.8
1929,45.5,69.7,17,39.1,5.7,17,22,0,37.4,25.4,104,99.5,61.8,39,166.8,482.3,160.5
1930,134.8,46.6,105.8,139.4,20.3,103.4,6.2,4,14.8,28.7,28.8,41.5,265.5,113.6,72.3,674.3,280.9
1931,66.6,8,161,6.3,30.6,31,0,8.8,34.7,83.9,76.6,0,197.9,39.8,195.2,507.5,116.1
1932,39.3,59.5,102.5,28.1,30.6,18.8,1.6,7.3,75.1,29.5,80.5,173.8,161.2,27.7,185.1,646.6,98.8
1933,96.3,22.2,115.6,4.4,47.5,24.4,0,0,1.7,107.1,87.5,86.4,167.5,24.4,196.3,593.1,292.3
1934,40.2,2.2,75.6,115.6,31.2,0.9,29,0,0.4,2,53.8,133.6,222.4,29.9,56.2,484.5,128.8
1935,2.3,35.4,40.8,21.9,100.6,20.9,0,22.6,0,24.4,118.5,144.6,163.3,43.5,142.9,532,171.3
1936,151.8,216.3,135.3,107.1,37.3,12.4,2.7,0,0.5,8.6,92,57.2,279.7,15.1,101.1,821.2,512.7
1937,283.1,58.6,217.1,50.9,16.6,7.2,0,0,13.9,114,233.8,83,284.6,7.2,361.7,1078.2,398.9
1938,29.6,37.3,15.4,68.5,88.5,0.8,0,0.5,80.5,8.1,27.5,136.8,172.4,1.3,116.1,493.5,149.9
1939,175.5,43.7,54.3,80.4,14.4,37.7,1.6,0,74.4,101,64.5,76.1,149.1,39.3,239.9,723.6,356
1940,223.2,120.6,105,39.9,68.2,12.9,0,1.1,13.1,108.1,51.3,22.4,213.1,14,172.5,765.8,419.9
