date,tmax,tmin,tmed
06/1888,22.9,12.7,17.8
07/1888,27.2,14.6,20.9
08/1888,30.3,16.3,23.3
09/1888,26.9,15.9,21.4
10/1888,21.7,13.1,17.4
11/1888,16.5,9.1,12.8
12/1888,13.2,7,10.1
01/1889,11.9,4.2,8.05
02/1889,13.7,5.5,9.6
03/1889,14.2,5.8,10
04/1889,15,7.1,11.05
05/1889,19.4,10,14.7
06/1889,22.6,12.4,17.5
08/1889,29.6,15.2,22.4
09/1889,28.6,16.1,22.35
10/1889,18.4,10.6,14.5
11/1889,16.6,9.5,13.05
12/1889,12.6,9.5,11.05
01/1890,14.4,6.2,10.3
02/1890,13.3,4.7,9
03/1890,14,5.4,9.7
04/1890,17.1,8.8,12.95
05/1890,18.2,9.4,13.8
06/1890,29.1,15.3,22.2
07/1890,29.8,15.1,22.45
08/1890,28.6,14.7,21.65
09/1890,27.1,15.3,21.2
10/1890,24.8,13.2,19
11/1890,16.8,8.9,12.85
12/1890,10.4,4.4,7.4
01/1891,10.1,3.5,6.8
02/1891,15.8,5.9,10.85
03/1891,14.5,6.8,10.65
04/1891,18.4,9.3,13.85
05/1891,19.5,10.3,14.9
06/1891,25.6,14.5,20.05
07/1891,29.3,15.8,22.55
08/1891,29.4,15.2,22.3
09/1891,27.5,15,21.25
10/1891,20.2,11.9,16.05
11/1891,15,9.2,12.1
12/1891,12.9,6.5,9.7
01/1892,11.7,5.2,8.45
02/1892,13.5,6.2,9.85
03/1892,14.9,8.1,11.5
04/1892,18.1,9.2,13.65
05/1892,22.7,12.5,17.6
06/1892,27,14.7,20.85
07/1892,28.6,15.2,21.9
08/1892,30.8,17.2,24
09/1892,25.9,16,20.95
10/1892,18.7,10.6,14.65
11/1892,16.6,8.8,12.7
12/1892,13.4,5.4,9.4
01/1893,12.8,4.9,8.85
02/1893,14.2,6.9,10.55
03/1893,18.5,10.1,14.3
04/1893,19.3,10.8,15.05
05/1893,22.6,12.8,17.7
06/1893,26.2,14.8,20.5
07/1893,30.8,17.2,24
08/1893,32.5,17.5,25
09/1893,24.9,15.4,20.15
10/1893,22.6,13.5,18.05
11/1893,14.6,8.3,11.45
12/1893,12.8,5.7,9.25
01/1894,11.4,4.4,7.9
02/1894,14.4,5.8,10.1
03/1894,15.8,6.9,11.35
04/1894,15.8,8.1,11.95
05/1894,19.3,10.1,14.7
06/1894,27.9,14.3,21.1
07/1894,29.9,15.7,22.8
08/1894,30.7,17.1,23.9
09/1894,25.4,14.4,19.9
10/1894,21.5,13.5,17.5
11/1894,16.2,9.1,12.65
12/1894,13.2,6.3,9.75
01/1895,10.4,4.2,7.3
02/1895,13.7,8.3,11
03/1895,13.4,6.4,9.9
04/1895,17.4,10,13.7
05/1895,22.3,12.5,17.4
06/1895,26.1,14.8,20.45
07/1895,29.1,16.3,22.7
08/1895,31.4,16,23.7
09/1895,27,17,22
10/1895,21.3,14.1,17.7
11/1895,18.1,12,15.05
12/1895,14.3,8.2,11.25
01/1896,13.7,5.1,9.4
02/1896,15.6,6.2,10.9
03/1896,18,8,13
04/1896,23,11,17
05/1896,22.5,12.2,17.35
06/1896,25.6,14.7,20.15
07/1896,30,16.6,23.3
08/1896,29.6,16.4,23
09/1896,27.7,14.9,21.3
10/1896,19.1,9.5,14.3
11/1896,13.5,6.5,10
12/1896,12.8,5.9,9.35
01/1897,10.4,4.5,7.45
02/1897,17.4,7.8,12.6
03/1897,19.8,10.6,15.2
04/1897,19.9,9.6,14.75
05/1897,22.4,12,17.2
06/1897,29.5,16.4,22.95
07/1897,32.9,17.3,25.1
08/1897,30.2,15.8,23
09/1897,27.7,14.9,21.3
10/1897,24,14.3,19.15
11/1897,17.9,10.4,14.15
12/1897,14.1,7,10.55
01/1898,14.7,6.1,10.4
02/1898,17.9,7.2,12.55
03/1898,15.7,5.9,10.8
04/1898,18.5,8.3,13.4
05/1898,21.8,10.4,16.1
06/1898,27.3,14,20.65
07/1898,33.8,17.3,25.55
08/1898,34.3,19.4,26.85
09/1898,30,17.7,23.85
10/1898,22.6,13.4,18
11/1898,15.3,8.2,11.75
12/1898,16.1,5,10.55
01/1899,13.8,6.1,9.95
02/1899,15.3,7.5,11.4
03/1899,17.9,8.7,13.3
04/1899,23.4,10.5,16.95
05/1899,24.7,12.5,18.6
06/1899,26.2,14.2,20.2
07/1899,32.7,17.6,25.15
08/1899,32.1,18.7,25.4
09/1899,29,16.3,22.65
10/1899,23.8,16.2,20
11/1899,19.1,10.6,14.85
12/1899,15.1,6.9,11
01/1900,13.3,5.3,9.3
02/1900,13.6,7.6,10.6
03/1900,14,5.8,9.9
04/1900,20.2,10.5,15.35
05/1900,20.6,11.4,16
06/1900,27.5,13.1,20.3
07/1900,32.9,17.2,25.05
08/1900,29.4,16.1,22.75
09/1900,27.5,16.4,21.95
10/1900,23.6,12.3,17.95
11/1900,15.6,7.8,11.7
12/1900,14.4,7.2,10.8
01/1901,14,5.2,9.6
02/1901,11.4,3.6,7.5
03/1901,14.1,6.3,10.2
04/1901,20.2,10,15.1
05/1901,22.5,11.8,17.15
06/1901,28.9,14.6,21.75
07/1901,32.1,16.6,24.35
08/1901,31.6,17.1,24.35
09/1901,24.8,14.3,19.55
10/1901,16.4,11.3,13.85
11/1901,16.6,7.4,12
12/1901,11.8,4,7.9
01/1902,13.9,5.2,9.55
02/1902,13.2,6.7,9.95
03/1902,17.4,8.5,12.95
05/1902,21.2,10.3,15.75
08/1902,22.5,15.9,19.2
09/1902,26.1,14.8,20.45
10/1902,21.4,11.5,16.45
11/1902,16.5,9.6,13.05
12/1902,13.4,6.3,9.85
01/1903,13.8,5.3,9.55
02/1903,16.5,6.7,11.6
03/1903,16.8,7.2,12
04/1903,20.9,10.3,15.6
05/1903,19.8,10.3,15.05
06/1903,24.2,13.5,18.85
07/1903,29.6,16.2,22.9
08/1903,31.8,16.7,24.25
09/1903,25.1,14.7,19.9
10/1903,21,12.2,16.6
11/1903,18.4,9.6,14
12/1903,13,4.4,8.7
01/1904,13.2,4.7,8.95
02/1904,13.9,6,9.95
03/1904,14.4,6,10.2
04/1904,21.5,10.2,15.85
05/1904,24.7,12.4,18.55
06/1904,27.3,13.9,20.6
07/1904,30.1,15.2,22.65
08/1904,31.1,16.7,23.9
09/1904,23.4,14,18.7
10/1904,24.2,14.4,19.3
11/1904,18.6,9.3,13.95
12/1904,14.5,7.8,11.15
01/1905,13.7,4.8,9.25
02/1905,15,4.7,9.85
03/1905,17.8,8.9,13.35
04/1905,21.1,10.4,15.75
05/1905,23.4,10.9,17.15
06/1905,24.9,12.9,18.9
07/1905,31.8,17.1,24.45
08/1905,29.3,15.1,22.2
09/1905,26,13.9,19.95
10/1905,22.5,12.2,17.35
11/1905,14.8,7.8,11.3
12/1905,14.5,6,10.25
01/1906,14.2,5.4,9.8
02/1906,12.7,4.6,8.65
03/1906,16.8,6.5,11.65
04/1906,20.4,8.1,14.25
05/1906,23.3,12,17.65
06/1906,29.1,15.4,22.25
07/1906,31.8,16.2,24
08/1906,34,14.6,24.3
09/1906,27.3,13,20.15
10/1906,22.2,9.5,15.85
11/1906,17.5,4.9,11.2
12/1906,14.3,1.1,7.7
01/1907,15.8,3.9,9.85
02/1907,13.2,3.1,8.15
03/1907,21,8.2,14.6
04/1907,18.4,8.9,13.65
05/1907,20,10.2,15.1
06/1907,28.2,14.2,21.2
07/1907,29.5,14.8,22.15
08/1907,33.4,17.4,25.4
09/1907,29.4,16.8,23.1
10/1907,18.7,10.8,14.75
11/1907,17.4,9,13.2
12/1907,13.9,8.5,11.2
01/1908,14.2,6.9,10.55
02/1908,16.6,5.8,11.2
03/1908,16.1,5.6,10.85
04/1908,18.1,7.1,12.6
05/1908,25.5,13,19.25
06/1908,23.5,18.4,20.95
07/1908,29.1,21,25.05
08/1908,28,17.9,22.95
09/1908,28.6,16.1,22.35
