year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1913,24.4,105.3,26.3,97.7,2.7,0,0.3,6.6,93.4,281.4,45.2,28.9,126.7,6.9,420,712.2,255.6
1914,56.2,37.1,18.1,20.9,9.1,8.5,2,2.9,50.6,136.7,333.4,30.1,48.1,13.4,520.7,705.6,122.2
1915,66.6,14,206.8,3.6,46.3,6.5,1,3.4,3.8,55.7,226.1,80.9,256.7,10.9,285.6,714.7,110.7
1916,27.6,36.6,117,9.7,125.4,0,1.4,0,0,24.2,15.5,315.9,252.1,1.4,39.7,673.3,145.1
1917,196.4,174.9,79,247.9,39.7,5,0,0,1.2,12.2,0.1,96.2,366.6,5,13.5,852.6,687.2
1918,149.5,9.8,19.6,47.5,42.3,6.1,0,0.9,7,37,62.4,36,109.4,7,106.4,418.1,255.5
1919,9.2,119.6,19.8,68.6,0,0,1,0,111,252,236.6,27.2,88.4,1,599.6,845,164.8
1920,47,444.6,206.1,36,29.8,0,0,0,31.8,131.5,61,46,271.9,0,224.3,1033.8,518.8
1921,0,124,269,55.4,0,4,0,0,14.4,138.4,117.8,27.6,324.4,4,270.6,750.6,170
1922,141,64.8,3,3,7,0,0,0,0,139,133.4,204,13,0,272.4,695.2,233.4
1923,11,35,117.5,36.2,25,6,2,0,7,8.6,82.6,0,178.7,8,98.2,330.9,250
1924,26.2,320,251.7,15,17.2,0,0,0,10.6,12.2,255,15.7,283.9,0,277.8,923.6,346.2
1925,108.6,58.2,222.9,0,0,0,0,0,0,36.6,129.1,157.5,222.9,0,165.7,712.9,182.5
1926,116.3,37,91.6,11.7,44,24.8,0,0,0,203,6,185.3,147.3,24.8,209,719.7,310.8
1927,16.1,3.8,0,18.1,46,0,0,0,6,100.3,75,162,64.1,0,181.3,427.3,205.2
1928,0,38,49.4,97.4,25.5,35,0,4.9,74,0,0,0,172.3,39.9,74,324.2,200
1929,44.5,2.6,24.5,4,0,0,0,0,0,10.3,84.6,29.9,28.5,0,94.9,200.4,47.1
1930,111.5,17,72.7,41.1,0,0,0,5.5,3.1,138.9,72.3,81.5,113.8,5.5,214.3,543.6,158.4
1931,24.1,0,170.3,87,9.8,13.4,0,1.8,2.6,146.1,17,205.1,267.1,15.2,165.7,677.2,105.6
1932,4.1,198.7,92.5,3.2,29.3,0,0,0,92.4,0.2,55.4,25.7,125,0,148,501.5,407.9
1933,107.7,52.8,34.2,2,22.4,0,0,0,10.2,142.6,18.2,95.4,58.6,0,171,485.5,186.2
1934,23.6,178.4,15,11.8,3.5,4.3,0,0.4,30.6,150.4,248.9,33.9,30.3,4.7,429.9,700.8,297.4
1935,28.7,5.2,10.7,8.8,10.9,0,0,0.2,15.7,15.5,49.8,62.6,30.4,0.2,81,208.1,67.8
1936,149.9,140.9,110.7,51.9,53.5,46,1.8,3.3,29,31,96,217.8,216.1,51.1,156,931.8,353.4
1937,163.6,0,3.8,2.2,0,23.5,1,0.5,36.1,211,161.7,7.7,6,25,408.8,611.1,381.4
1938,13.2,122.5,30.5,90.1,0,0,0,2.8,16.5,9.3,39.8,89.2,120.6,2.8,65.6,413.9,143.4
1939,77.5,51.2,36.3,22.8,0.7,0,0,2.5,111.4,96.4,11.9,247,59.8,2.5,219.7,657.7,217.9
1940,114.6,128.3,24.7,14.1,22.3,2.5,0,3.7,9.6,106.8,5.8,38.5,61.1,6.2,122.2,470.9,489.9
1941,75.9,133.6,54.7,47.9,25.4,4.4,0,0.4,107.9,83.9,204.8,70.4,128,4.8,396.6,809.3,248
1942,56.3,87.1,153.1,57.3,2.6,0,0,0,48.4,134.2,212.5,92.3,213,0,395.1,843.8,213.8
1943,52.1,11.7,114.8,55.4,0.5,0,8.3,0,37.7,77.4,40.1,15.9,170.7,8.3,155.2,413.9,156.1
1944,29.4,77.2,105.2,94.7,10.5,0,0,2.7,11.3,1.3,75.4,18.7,210.4,2.7,88,426.4,122.5
1945,66.8,0,17,55.5,43.4,0,0.7,0,1.9,147.5,193.2,163,115.9,0.7,342.6,689,85.5
1946,66,2.5,68.6,8.7,35.1,0,0,11.2,3.1,89.5,96.7,1.1,112.4,11.2,189.3,382.5,231.5
1947,144.7,173.6,61.3,0,31.5,3.7,1.8,1.8,17.8,9.1,4.9,3.4,92.8,7.3,31.8,453.6,319.4
1948,22.1,124.4,6.4,16.4,18.7,0,0,0.2,52.1,19.3,31.8,76.3,41.5,0.2,103.2,367.7,149.9
1949,22.2,24.7,136.5,43.2,36.8,0,0,4.3,42,17.8,112.2,180,216.5,4.3,172,619.7,123.2
1950,62.8,12.1,6.5,63.8,48.2,2.3,1.7,0,0.9,42.4,23.6,30.8,118.5,4,66.9,295.1,254.9
1951,13.3,22.7,29.2,74,1.8,16.3,0,0,1.5,46.3,46.2,94.2,105,16.3,94,345.5,66.8
1952,13.9,37.8,106.6,12.8,10,6.6,0,1.4,0,36.7,163,3.1,129.4,8,199.7,391.9,145.9
1953,217.6,37.5,8.1,88.4,5.1,0,0,0,3.3,133.5,38,191.4,101.6,0,174.8,722.9,258.2
1954,38.6,16.2,40,78.1,0,0,0,3.5,0,26.8,80.7,49.2,118.1,3.5,107.5,333.1,246.2
1955,53.6,87.5,32.8,2.5,0,0,0,14,0,45.9,150.2,20.6,35.3,14,196.1,407.1,190.3
1956,60.4,130.2,48.7,40.2,12.7,0,0,0,4.8,18.1,87.3,16.9,101.6,0,110.2,419.3,211.2
1957,74.6,19.8,81.6,21.6,65.2,3.6,2.2,0,6.4,92.2,53.6,115.8,168.4,5.8,152.2,536.6,111.3
1958,82,77.7,17.4,13.9,8,6.6,1,2.5,4,16.5,28.9,162.4,39.3,10.1,49.4,420.9,275.5
1959,214.4,33.9,96.9,25.2,9.5,0,30,0,22.3,35.5,35.6,0,131.6,30,93.4,503.3,410.7
1960,75.2,175.9,101.2,10.8,19.1,0,1.1,1.4,4.9,71.9,61.7,29.9,131.1,2.5,138.5,553.1,251.1
1961,46.6,28.1,24.6,9.3,31,1.8,0,0.1,0.3,9.7,129.3,134,64.9,1.9,139.3,414.8,104.6
1962,26.7,15.4,100.8,32.1,5.5,0.1,3.5,0,67.8,115.1,6.8,124,138.4,3.6,189.7,497.8,176.1
1963,298.7,78.2,5.6,59.8,18.6,19.7,0.1,16.4,17.1,5,67.3,152.8,84,36.2,89.4,739.3,500.9
1964,200.9,53,83.9,10.9,0.2,67.8,0,1.3,77.8,37.3,30.8,27.3,95,69.1,145.9,591.2,406.7
1965,121.4,234.3,48.7,5,0.5,53.6,0,6.7,12.9,192,82.7,7.5,54.2,60.3,287.6,765.3,383
1966,42.1,83.4,93.5,20,6.6,49.7,0,0,12.4,234.3,130.5,50.8,120.1,49.7,377.2,723.3,133
1967,9.8,28.2,1.2,26,57.4,0,0,0.5,22.1,39.7,306.1,99.8,84.6,0.5,367.9,590.8,88.8
1968,5.7,146.9,129,52.6,13.6,1.5,0,0,1.8,80.2,124.3,83.1,195.2,1.5,206.3,638.7,252.4
1969,248,438.1,149.9,6.5,9.8,10.4,0,0,2.8,100.1,27.2,13.4,166.2,10.4,130.1,1006.2,769.2
1970,243.7,83.6,127.2,33.7,8.5,2.5,0.5,3.4,0.1,26.5,159.7,167.7,169.4,6.4,186.3,857.1,340.7
