Cultura,Ano,Superfície,Produção
Abacate,2019,50.394,415.36872173722986
Abacate,2020,50.394,461.783316610655
Abacate,2021,50.394,490.10163154606295
Abóbora,2019,77.0,1548.4079945181659
Abóbora,2020,76.76,1929.477234727507
Abóbora,2021,76.76,1890.887690032957
Alface,2019,49.05,1494.835047
Alface,2020,49.05,1554.62844888
Alface,2021,49.0,1477.25
Ameixa,2019,49.5122,412.88300287310085
Ameixa,2020,49.5122,291.14205562379294
Ameixa,2021,49.5122,248.46588308462074
Anona,2019,116.79399999999998,1444.2985903808722
Anona,2020,116.79399999999998,1460.7622040500235
Anona,2021,116.79399999999998,584.3048816200094
Banana,2019,824.0004,22731.825175542
Banana,2020,824.0004,22283.553583080313
Banana,2021,832.240404,21218.622557344905
Batata,2019,897.61,29448.13553476207
Batata,2020,864.3984299999997,25913.845225004938
Batata,2021,841.0837151819956,25944.080761400623
Batata-doce,2019,430.01,9210.627795306445
Batata-doce,2020,430.01,7351.3094735909
Batata-doce,2021,430.0,7641.764303196847
Cana-de-açúcar,2019,173.54,9814.28618655
Cana-de-açúcar,2020,173.54,
Cana-de-açúcar,2021,173.54,9203.0029742
Castanha,2019,108.741,111.19980703552845
Castanha,2020,108.741,105.9405651458353
Castanha,2021,108.741,112.29410021532526
Cebola,2019,136.23,4201.081599843153
Cebola,2020,136.23,4201.081599843153
Cebola,2021,137.5923,4369.124863836879
Cenoura,2019,29.2,1001.5785818181816
Cenoura,2020,29.2,901.4207236363635
Cenoura,2021,29.2,901.4207236363635
Cereja,2019,30.74780000000001,138.32334713024872
Cereja,2020,30.74780000000001,71.54516322101351
Cereja,2021,30.74780000000001,65.1060985311223
Couve-bróculo,2019,13.0,215.69109126026072
Couve-bróculo,2020,13.02,218.18315294543703
Couve-bróculo,2021,12.629399999999999,209.45582682761955
Couve-flor,2019,11.31,204.04076369747898
Couve-flor,2020,11.31,205.06096751596633
Couve-flor,2021,11.0838,196.85852881532767
Couve-repolho,2019,104.0,3587.0637420744015
Couve-repolho,2020,103.99,3586.7188320992022
Couve-repolho,2021,103.99,3622.5860204201945
Fava em verde,2019,9.638999999999998,55.2825
Fava em verde,2020,9.638999999999998,55.2825
Fava em verde,2021,9.638999999999998,55.2825
Feijão maduro,2019,120.5,1522.720456704
Feijão maduro,2020,120.5,1339.9940018995203
Feijão maduro,2021,121.705,1380.1938219565059
Feijão-verde,2019,113.0,2661.221603960396
Feijão-verde,2020,113.46,2271.246661128713
Feijão-verde,2021,115.72919999999999,2362.0965275738617
Inhame,2019,24.0,519.7435958410572
Inhame,2020,24.46,449.65080685397504
Inhame,2021,24.660016229712863,455.7785953535445
Kiwi,2019,10.5,157.5
Kiwi,2020,10.5,152.3025
Kiwi,2021,10.5,152.3025
Limão,2019,63.4735,824.9098485774538
Limão,2020,63.4735,802.3757712429176
Limão,2021,63.972902884779096,825.2863263966168
Manga,2019,23.453,213.08883530358736
Manga,2020,23.453,260.777739375
Manga,2021,23.453,271.33028935429024
Maracujá,2019,37.7158,182.77684760864955
Maracujá,2020,37.7158,242.1103678109614
Maracujá,2021,37.7158,247.952303183956
Maçã,2019,31.5242,505.8376505504132
Maçã,2020,31.5242,478.608868366197
Maçã,2021,31.5242,471.06615778945337
Milho p/maçaroca,2019,112.83370875,2958.7349131200003
Milho p/maçaroca,2020,112.83370875,2514.9246761520003
Milho p/maçaroca,2021,112.83370875,2464.62618262896
Morango,2019,5.5234375,247.13052
Morango,2020,5.5234375,274.3148772
Morango,2021,5.5234375,279.80117474400004
Nabo,2019,20.0,690.0
Nabo,2020,20.0,690.0
Nabo,2021,20.0,669.3
Papaia,2019,6.376919999999999,209.63117849535232
Papaia,2020,6.376919999999999,189.24143809999998
Papaia,2021,6.376919999999999,189.24143809999998
Pera,2019,23.14154,336.2841812024999
Pera,2020,23.14154,289.91726168438
Pera,2021,23.14154,289.91726168438
Pero p/sidra,2019,104.87415,1436.8232086964422
Pero p/sidra,2020,104.87415,1348.266362276248
Pero p/sidra,2021,106.81305736161787,1366.550623358218
Tangerina,2019,37.17435,425.0957992539737
Tangerina,2020,37.17435,421.8060974036648
Tangerina,2021,38.014312403387564,440.2400054615919
Tomate,2019,32.0,1298.2274120913594
Tomate,2020,32.22,1633.9409069368592
Tomate,2021,32.22,1633.9409069368592
Vinha (vitis vinifera) (a),2019,442.0,33515.71
Vinha (vitis vinifera) (a),2020,422.40000000000003,32201.94
Vinha (vitis vinifera) (a),2021,408.04900000000004,
